            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.997430556, A.D. 2025-Jan-05 11:56:18.0000, -1.034730292254554E+04,  8.757843134210549E+03,  5.301212042027782E+02, -5.275617285561416E+00, -1.517818171891861E+00,  4.868495107163229E+00,
2460680.997442130, A.D. 2025-Jan-05 11:56:19.0000, -1.035257772502535E+04,  8.756324612104139E+03,  5.349896685490287E+02, -5.273964974530817E+00, -1.519216173120743E+00,  4.868410017016082E+00,
2460680.997453704, A.D. 2025-Jan-05 11:56:20.0000, -1.035785087537013E+04,  8.754804692648366E+03,  5.398580474273829E+02, -5.272313004030321E+00, -1.520612932046382E+00,  4.868324210571756E+00,
2460680.997465278, A.D. 2025-Jan-05 11:56:21.0000, -1.036312237391969E+04,  8.753283377085530E+03,  5.447263401210407E+02, -5.270661374779996E+00, -1.522008449426170E+00,  4.868237688918913E+00,
2460680.997476852, A.D. 2025-Jan-05 11:56:22.0000, -1.036839222101457E+04,  8.751760666657183E+03,  5.495945459142941E+02, -5.269010087497941E+00, -1.523402726018013E+00,  4.868150453145209E+00,
2460680.997488426, A.D. 2025-Jan-05 11:56:23.0000, -1.037366041699605E+04,  8.750236562604110E+03,  5.544626640925256E+02, -5.267359142900269E+00, -1.524795762580339E+00,  4.868062504337328E+00,
2460680.997500000, A.D. 2025-Jan-05 11:56:24.0000, -1.037892696220609E+04,  8.748711066166334E+03,  5.593306939422074E+02, -5.265708541701125E+00, -1.526187559872088E+00,  4.867973843580940E+00,
2460680.997511574, A.D. 2025-Jan-05 11:56:25.0000, -1.038419185698739E+04,  8.747184178583118E+03,  5.641986347509014E+02, -5.264058284612688E+00, -1.527578118652710E+00,  4.867884471960746E+00,
2460680.997523148, A.D. 2025-Jan-05 11:56:26.0000, -1.038945510168335E+04,  8.745655901092961E+03,  5.690664858072568E+02, -5.262408372345159E+00, -1.528967439682163E+00,  4.867794390560436E+00,
2460680.997534722, A.D. 2025-Jan-05 11:56:27.0000, -1.039471669663810E+04,  8.744126234933599E+03,  5.739342464010102E+02, -5.260758805606788E+00, -1.530355523720907E+00,  4.867703600462714E+00,
2460680.997546296, A.D. 2025-Jan-05 11:56:28.0000, -1.039997664219646E+04,  8.742595181342002E+03,  5.788019158229849E+02, -5.259109585103853E+00, -1.531742371529906E+00,  4.867612102749291E+00,
2460680.997557871, A.D. 2025-Jan-05 11:56:29.0000, -1.040523493870398E+04,  8.741062741554380E+03,  5.836694933650883E+02, -5.257460711540673E+00, -1.533127983870617E+00,  4.867519898500879E+00,
2460680.997569445, A.D. 2025-Jan-05 11:56:30.0000, -1.041049158650687E+04,  8.739528916806177E+03,  5.885369783203136E+02, -5.255812185619611E+00, -1.534512361504994E+00,  4.867426988797194E+00,
2460680.997581019, A.D. 2025-Jan-05 11:56:31.0000, -1.041574658595210E+04,  8.737993708332073E+03,  5.934043699827359E+02, -5.254164008041078E+00, -1.535895505195480E+00,  4.867333374716960E+00,
2460680.997592593, A.D. 2025-Jan-05 11:56:32.0000, -1.042099993738732E+04,  8.736457117365979E+03,  5.982716676475136E+02, -5.252516179503532E+00, -1.537277415705004E+00,  4.867239057337896E+00,
2460680.997604167, A.D. 2025-Jan-05 11:56:33.0000, -1.042625164116087E+04,  8.734919145141033E+03,  6.031388706108870E+02, -5.250868700703481E+00, -1.538658093796982E+00,  4.867144037736733E+00,
2460680.997615741, A.D. 2025-Jan-05 11:56:34.0000, -1.043150169762179E+04,  8.733379792889626E+03,  6.080059781701760E+02, -5.249221572335482E+00, -1.540037540235306E+00,  4.867048316989192E+00,
2460680.997627315, A.D. 2025-Jan-05 11:56:35.0000, -1.043675010711983E+04,  8.731839061843364E+03,  6.128729896237809E+02, -5.247574795092153E+00, -1.541415755784350E+00,  4.866951896169998E+00,
2460680.997638889, A.D. 2025-Jan-05 11:56:36.0000, -1.044199687000543E+04,  8.730296953233088E+03,  6.177399042711801E+02, -5.245928369664174E+00, -1.542792741208959E+00,  4.866854776352886E+00,
2460680.997650463, A.D. 2025-Jan-05 11:56:37.0000, -1.044724198662971E+04,  8.728753468288885E+03,  6.226067214129307E+02, -5.244282296740276E+00, -1.544168497274448E+00,  4.866756958610572E+00,
