generation,branch,rho,phi,alive,cell,status,orientation
11,4005,-0.163775548,0.971151531,0,4294967295,1,0
11,4006,-0.11913994,0.938329518,1,38040,0,0
11,4007,-0.118113816,0.798087895,1,38018,0,0
11,4008,-0.14141959,1.05489147,0,37035,3,0
11,4009,-0.119110167,0.937619388,1,38040,0,0
11,4010,-0.118012026,0.932224572,1,38039,0,0
11,4011,-0.161637709,0.825113833,0,4294967295,1,0
11,4016,-0.129758164,1.05953431,0,38060,3,0
11,4017,-0.161659494,0.958854556,0,4294967295,1,0
11,4020,-0.115900844,0.91957438,1,38037,0,0
11,4021,-0.114891514,0.779277325,1,38015,0,0
11,4026,-0.157794639,0.666066051,0,4294967295,1,0
11,4027,-0.157794639,0.666066051,0,4294967295,1,0
11,4028,-0.11209619,0.760521829,1,38011,0,0
11,4029,-0.111229464,0.619743049,1,37989,0,0
11,4030,-0.110441379,0.613522708,1,37987,0,0
11,4031,-0.109749392,0.47256729,1,37965,0,0
11,4048,-0.128676295,1.05225945,0,38059,3,0
11,4049,-0.116933465,0.923577785,1,38038,0,0
11,4050,-0.115855187,0.91817832,1,38037,0,0
11,4051,-0.114839233,0.777838528,1,38014,0,0
11,4056,-0.157671303,0.799459577,0,4294967295,1,0
11,4057,-0.157671303,0.799459577,0,4294967295,1,0
11,4058,-0.11190258,0.759352803,1,38011,0,0
11,4059,-0.111043617,0.618613839,1,37988,0,0
11,4060,-0.111029111,0.752952516,1,38010,0,0
11,4061,-0.110176764,0.612200439,1,37987,0,0
11,4062,-0.109400049,0.605989456,1,37986,0,0
11,4063,-0.108709343,0.464955747,1,38987,0,0
11,4064,-0.11704348,1.05618465,0,38060,3,0
11,4065,-0.115919448,0.916340768,1,38037,0,0
11,4066,-0.158624023,0.804519653,0,4294967295,1,0
11,4067,-0.113836259,0.770548284,1,38013,0,0
11,4072,-0.112849772,0.898302257,1,38034,0,0
11,4073,-0.111850612,0.757894576,1,38011,0,0
11,4074,-0.15583542,0.65173763,0,4294967295,1,0
11,4075,-0.110071041,0.611257195,1,37987,0,0
11,4076,-0.110066719,0.745660901,1,38009,0,0
11,4077,-0.109215304,0.604851961,1,39010,0,0
11,4078,-0.154283002,0.504667044,0,4294967295,1,0
11,4079,-0.10776525,0.457584083,1,38986,0,0
11,4084,-0.109192453,0.738566458,1,39032,0,0
11,4085,-0.108358204,0.597806931,1,39009,0,0
11,4086,-0.107597701,0.591572762,1,39008,0,0
11,4087,-0.106923357,0.450519115,1,38985,0,0
11,4088,-0.108410828,0.731672585,1,39031,0,0
11,4089,-0.107583247,0.5909006,1,39008,0,0
11,4090,-0.106836587,0.584699094,1,39007,0,0
11,4091,-0.106163248,0.4435682,1,38984,0,0
11,4094,-0.104926541,0.430374235,1,38982,0,0
11,4095,-0.151554942,0.343640625,0,4294967295,1,0
12,6778,-0.131847247,1.00548506,0,4294967295,1,0
12,6779,-0.0886042267,0.979333222,1,39071,0,0
12,6780,-0.130688399,1.00030291,0,4294967295,1,0
12,6781,-0.130688399,1.00030291,0,4294967295,1,0
12,6874,-0.129153132,1.06068432,0,38060,3,0
12,6875,-0.0858100876,0.96659714,1,40093,0,0
12,6878,-0.126927525,0.847839236,0,4294967295,1,0
12,6879,-0.0824440941,0.815604448,1,40068,0,0
12,6886,-0.12912479,1.05998254,0,38060,3,0
12,6887,-0.0857755244,0.965867758,1,40093,0,0
12,7502,-0.128872707,1.05674481,0,38060,3,0
12,7503,-0.128872707,0.989249647,0,4294967295,1,0
12,7510,-0.127596959,1.05131733,0,38059,3,0
