generation,branch,rho,phi,alive,cell,status,orientation
11,3758,-0.152595788,1.01670778,1,37029,0,0
11,3759,-0.15083617,0.882048607,1,37007,0,0
11,3762,-0.193307951,1.10859823,0,34996,3,0
11,3763,-0.154321373,1.01663935,1,37029,0,0
11,3764,-0.191397637,1.10888839,0,34996,3,0
11,3765,-0.152413905,1.01695478,1,37029,0,0
11,3766,-0.150586471,1.01727676,1,37029,0,0
11,3767,-0.148830205,0.882616043,1,37007,0,0
11,3768,-0.189465135,1.10943007,0,34996,3,0
11,3769,-0.150491029,1.01752102,1,37029,0,0
11,3770,-0.148660362,1.01784337,1,37029,0,0
11,3771,-0.146920606,0.883178353,1,37007,0,0
11,3772,-0.146834001,1.01840413,1,37029,0,0
11,3773,-0.145083979,0.883740306,1,37008,0,0
11,3774,-0.143323779,0.884299755,1,37008,0,0
11,3775,-0.141650051,0.749860764,1,36986,0,0
11,3786,-0.193240181,1.1088804,0,34996,3,0
